Yoruba	Nupe	English
Àwọn nọ́ọ̀sì yóó ṣàlàyé bí o ó ṣe lò ó.	Noosi zhi a jin bayani ki an do na wo a lulo na ya we.	The nurses will explain how you will take it.
Abẹ́rẹ́ mẹ́ta lo máa gbà.	Ekin guta wa' go o.	You will take three injections.
Àwọn nọ́ọ̀sì yóò ṣàlàyé fún ọ	Noosi zhi a jin bayani ya we.	The nurses will explain to you.
Abẹ́rẹ́ mélòó lo ti gbà?	Ekin gu kin wo go a ni o?	How many injections have you taken?
Ǹjẹ́ ó ń dí ọ lọ́wọ́ láti lè sùn?	Ngan we'e kan wo ele n le a ko?	Is it preventing you from sleeping?
Abẹ́rẹ́ mélòó ni wọ́n ti fún ọ? 	Ekin gun kin a la ya wo ya ni?	How many injections have they given you? 
Ǹjẹ́ o ní àìsàn abẹ́lẹ̀ kankan?	Batan kici zhi dan be wo yin le o?	Do you have any internal illness?
Ǹjẹ́ ẹ ní àìsàn kankan tó gbajúmọ̀ nínú ẹbí yín?	Batan kici zhi fi ezan yan zami ezhi bo ?	Do you have any hereditary illness in your family?
Ǹjẹ́ o ní àìsàn ẹ̀jẹ̀ ríru?	Wo de ejiagun?	Do you have anemia?
Ǹjẹ́ o ní àìsàn ikọ́-ásímà  	Wo de batan yan esun kanta?	Do you have asthma?  
Ǹjẹ́ o ní àìsàn ìtọ-ṣúgà?	Wo de batan yan sanmana (suga)?	Do you have diabetes?
Jọ̀ọ́ dùbúlẹ̀ sórí tábìlì yìí	Le ci ta eti a bo.	Please lie down on this table
Mí sínú	Sun sun ya kin fi nibo.	Breathe in
Mí síta	Sun sun tin ya.	Breathe out
Sé èémí rẹ fún iṣẹ́jú-àáyá mẹ́wàá	Kan esun wo ta ya 'yebagi guwo.	Hold your breath for ten seconds
Ǹjẹ́ o ti sun ilé-ìwòsàn rí fún ìtọ́jú àìsàn kan tàbí òmíràn?	A kan wo ta asibiti o le ani?	Have you been hospitalized for any illness before?
Ǹjẹ́ wọn ti ṣiṣẹ́ abẹ fún ọ rí?	A lo etun ya wo le ani?	Have you had any surgery before?
Ààmì àìsàn onígbáméjì nìyí	Alama yan batan yan foro be manzuwa e yi na o.	These are symptoms of diabetes
Rí i dájú pé ò ń mu omi lóòrè-kóòrè	Ce fin nuwon ka n doro.	Make sure you drink water regularly
Máa se oúnjẹ rẹ dáadáa kí o sì máa jẹ èsò púpọ̀	Ce la eginci we jin ge wagin, o mo o ce gin eginci sunsunci dokun	Prepare your food well and eat lots of fruits
Ǹjẹ́ ọmọ náà ti gba àjẹsára?	Egi na a ekin yan gigbere kagun go a ni?	Has the child been vaccinated?
Ọjọ́ wo ni yóò gba àjẹsára mìíràn?	Foci a gan e ke ye be go ekin yan gigbere kagun o?	When will he get another vaccination?
Ọmọ oṣù mélòó ni?	Egi twsa gukin un yi o?	How many months old is the child?
Ọmọ ọdún mélòó ni?	Egi 'ya gunkin un yi o?	How old is the child?
Ó ṣe pàtàkì fún ìlera ọmọdé	Wun ge ya lafiya yan egi wawagi zhi.	It is important for the health of the child
Ó ṣe pàtàkì fún ìlera ara wa	Wun ge ya lafiya yan nakan pache yi.	It is important for our health
Ó tó ìgbà wo tí o ti ń wúkọ́?	Tun dagan foci epa na ya o?	How long have you had a cough?
Ǹjẹ́ ò ń tu kẹ̀lẹ̀bẹ̀ jáde?	Wo ga kpakpa wen e de ecin ko? 	Are you coughing up mucus?
Kí ni àwọ̀ kẹ̀lẹ̀bẹ̀ tí ẹ̀ ń tu?	Ki yi nuwon ya mincini wo yo?	What color is the mucus you are coughing up?
Ṣé ara rẹ ń gbọ́ná?	Nakan wo e wo na?	Does your body feel hot?
Ǹjẹ́ òtútù ń mú ẹ?	Wo e wo efe?	Do you feel cold?
Ǹjẹ́ o máa ń làágùn kíkan-kíkan lálẹ́?	Wo e cinu dan eshi o sarayin?	Do you sweat at night?
Ǹjẹ́ ọ̀ ń lè jẹun?	Eginci e ye gi ya we?	Can you eat?
Ǹjẹ́ ó ní nǹkankan tí ó máa ń mú ìnira bá ọ bí o bá jẹ ẹ́ tàbí ṣe é?	Wo de balegi ndoro?	Is there anything that troubles you when you eat or drink?
Ǹjẹ́ o ní àìsàn ọgbẹ́-inú?	Wo de egbo wunci osa?	Do you have constipation?
Ààrun òhún máa ń ràn	Batan na kuka za wo.	This disease can be contagious
Ààrun náà ń ràn kíákíá	Cigun na e la ma nakan kezhe be gwa'tso e.	This disease spreads quickly
Ààrun àbínibí ni ààrun náà	Batan nna e ma za ma biu yin.	This disease can be hereditary
Ó ṣe è ṣe kí ó jẹ́ àìsàn ìdílé ni àìsàn ọ̀hún	Un jin wo gan batan na dan ezan e bo dan	It can be a familial disease
Ó máa ń ran ara wa lọ́wọ́ láti gbógun ti àjàkálẹ̀ àrùn	We kan gwa cigun nakan o.	It helps our body to fight off epidemics
Àpọ̀jù ṣúgà ń ṣàkóbá fún ìlera wa	Eyan mana ge ya nakan pace yi un ga ganagan na.	Too much sugar is harmful to our health
Ọtí àmuju lè ṣàkóbá fún ara wa	Ege e la waala be ya lafiya yan nakan pace za'ngi.	Alcohol consumption can harm our body
Ẹ jẹ́ kí a mutí mọ níwọ̀n	Elugwa yi pe ya be eyan fin.	Let us drink moderately
Sìgá mímu léwu fun ara wa 	Ciga gee ya lafiya yi a.	Smoking is harmful to our body
A ò tí ì mọ ohun tó fà á	Yi la pe ena gu beyin naa.	We don't know the cause yet
A ò tí ì lè sọ pé àìsàn kan ni ní pàtó àyàfì tí a bá ti ṣe àwọn àyẹ̀wò kan	Yi la gan wo gan eyan kazan e ji wo ya, seyi a ga tsuwon zhi jin bedzo.	We cannot say that it is a particular illness unless we have done some tests.
Ó yẹ kí ẹ rí i rà ní ilé-ìtòògùn wa	Wa de u shi kata bana e kun cigbe na.	You should buy it at our pharmacy.
Ẹ jọ̀ọ́ ẹ níláti yẹra fún lílo òògùn tí dókítà ò kọ fún-un yín	Fa, gan be cigbe lilo e ka a kuka ya we asibiti bo o ana.	Please avoid using medication not prescribed to you by a doctor.
O kì í ṣe dọ́kítá	Wo jin dokita a.	You are not a doctor.
Ẹ̀yin kọ́ ní dókítà	Un jin wo yi dokita a.	You are not doctors.
Ẹ jọ̀ó ẹ pe dókítà wá	Fa, yi dokita be yin.	Please call a doctor.
Mi ò rí oorun sùn	Mi de ele le a.	I did not sleep well.
A máa a fun ọ ní òògun oorun lò	Aa la cigbe ele ya we.	We will give you sleeping medication.
Ìsinmi tó tó nìkan ni o nílò	Efa gbubi ga nakan we e wa o.	You only need sufficient rest.
Rí i dájú pé ò ń lo ìgò-ojú rẹ bí o bá fẹ́ lo fóònù rẹ	Ce la bayele wo pe eye wo ga yi seeti gwa na.	Make sure you use your glasses if you want to use your phone.
Ọ̀pọ̀lọpọ̀ àwọn ènìyàn tó ní ààrùn onígbáméjì ni kìí ní àpẹrẹ tàbí àmì àìsàn yìí rara, 	Kama kama za na zhi de batan yan foro be manzuwa na e de alama u ndoro a.	Many people with diabetes do not show any signs or symptoms at all.
Ọ̀pọ̀lọpọ̀ àwọn ènìyàn tó ní ààrùn onígbáméjì lè má ní àpẹrẹ tàbí àmì àìsàn yìí 	Kama kama yan zana zhi de batan yan foro be manzuwa na, un jin wo a ga de alama ndoro ma.	Many people with diabetes may not show any signs or symptoms.
Awọn mìíran, lè nira gidigidi, ó sì lè la ikú lọ. 	Sashi zi e dee daman, un ma wu za wo.	For others, it can be very severe and could lead to death.
Inú-ríru àti èébì 	Manzuwa be tuntun i.	Stomach pain and vomiting.
Igbẹ́ gbuuru àti òòyì kíkọ́ 	Foro be eyi i.	Diarrhea and frequent urination.
Ìríra, àìlókun-inú, tàbí oorun àsùnjù 	Eban ze, nakan gban be, ele ko yigbe ta ka ndoro e.	Nausea, loss of appetite, or insomnia.
Lára àwọn àmì ààrùn onígbáméjì tí a sábà má ń rí nìwọ̀nyí 	Alama yan batan yan foro be manzuwa zhi yi;	These are some of the common symptoms of diabetes.
Kí ọkàn àti ẹ̀jẹ̀ ènìyàn máa ṣe ségesège 	Sugan gbin be ekpa pa na a gan cin zhin na e.	That the person's heart and blood should function properly.
Ènìyàn lè ní ààrùn onígbáméjì bí wọ́n bá jẹ oúnjẹ tàbí mu omi tí o bá ti farakó  	Eza e ku batan yan foro be manzuwa e dagan eginci ko nuwan na ga ka shikan na.	A person may have diabetes if they eat food or drink water that is contaminated.
Farakó ìgbẹ́ ẹni tí ó ti ní ààrùn náà	Na ga ka shepata yan zana de batan yan foro be manzuwa na.	Contaminated stool of someone who already has the illness.
A níláti se omi tàbí fi apàlàmọ́ sínú omi ti a fẹ́ mu tàbí fi se oúnjẹ 	Ce la nuwon finfinci ko na e la ji eginci na du tana wangin bedzo. 	We need to boil water or add chlorine to water we want to drink or use for cooking.
Fọ ọwọ́ rẹ lóòrèkóòrè pẹ̀lú ọṣẹ àti omi tó mọ́ 	Ce la egwa we na ya wangin be eko to nuwan naga tinye na e.	Wash your hands regularly with soap and clean water.
Ìtọ̀ ṣúgà	Batan ya sanman ko suga.	Urinating frequently.
Ẹ̀fọ́rí	Eti san.	Headache.
Ibà	Iba.	Fever.
Ibà pọ́njú-pọ́ntọ̀	Batan yan eye duru.	High fever.
Ibà jẹ̀fun-jẹ̀dọ̀	Batan yan edugi.	Yellow fever.
Ẹ̀yìn ríro	Ikan tan.	Body aches.
Àtọ̀sí	Twashi.	Weakness.
Aromọléegun	Wukansanagi.	Malaria.
Ikọ́ ife	Ekpayiringi.	Whooping cough.
Bèlúbèlú	Belu -belu.	Jaundice.
Ọgbẹ́-inú	Egbo ko osa yan gbako	Stomach ulcers.
Ẹ̀jẹ̀ ríru	Ejiagun.	Blood clot.
Òtútù àyà	Batan yan eye fuka.	Chest cold.
Àjàkàlẹ̀ ààrùn	Cigun na lagba mi na.	Epidemic.
Agbẹ̀bí	Noosi na zhi e maa gi na.	Midwife.
Dọ́kítà ojú	Dokita yan eye.	Eye doctor (Optometrist).
Dọ́kítà àwọn ọmọdé	Dokita yan egi wawagi zhi.	Pediatrician.
Àjẹsára	Gigbere kagun.	Immunization.
Dọ́kítà oníṣẹ́-abẹ	Dokita yan etun 'bi.	Surgeon.
Ìwòsàn	Egunsa.	Treatment.
Ìwé òògùn	Takada yan cigbe.	Prescription.
Àtúnṣe	Cigbe.	Adjustment.
Òògun apakòkòrò-ara	Cigbe na e wu gbere na.	Immunosuppressant.
Abẹ́rẹ́	Ekin	Injection.
Òògun oní-hóóró	Cigbe sunsun.	Antibiotic.
Òògun olómi	Cigbe yan nuwon.	Liquid medicine.
Òògun amúniyàgbẹ́	Cigbe na e la 'za tsabi na.	Painkiller.
Ẹ kạ́àárọ̀. Kí ni mo lè ṣe fún-un yín?	Kube lazhin. Ki we e wa o?	Good morning. How can I help you?
Ẹ kạ́àárọ̀. Kí ni mo lè ṣe fún-un yín lénìí?	Kube lazhin. Ki mi jin ya we wo ina o?	Good morning. How can I help you today?
Ẹ kạ́àárọ̀. Ìrànlọ́wọ́ wo ni mo lè ṣe fún-un yín?	Kube lazhin. Ki mi jin ya we wo?	Good morning. What assistance can I provide you?
Ara mi ò yá lẹ́nu ọjọ́ mẹ́ta yìí, ara gbígbóná àti ara ríro. Ẹ̀rù ń bà mí pé ó le jẹ́ Ibà.	Toshi, nakan ji mi yan a, nakan nawo be nakan tan e. Mi e cin le gan mi a de iba.	I haven't felt well in the last three days, my body is hot and aching. I am afraid it might be fever.
Ara mi ò yá lẹ́nu ọjọ́ mẹ́ta yìí, ara mi ń gbóná ara sì ń ro mi. Ẹ̀rù ń bà mí pé ó le jẹ́ Ibà.	Toshi, nakan ji mi yan a, nakan mi e wona, nakan ma e tan mi. Mi e cin le gan mi a de iba.	I haven't felt well in the last three days, my body is hot and aching. I am afraid it might be fever.
Kò burú. Ǹjẹ́ nǹkan mìíràn wà?	To. Be ki be o?	No problem. Is there anything else?
Béẹ̀ni, orí ń fọ́ mi, èébì díẹ̀ náà sì ń gbé mi.	E, mi e wo etisan be manzuwa e.	Yes, I have a headache and a bit of nausea.
Rárá. Kò sí nǹkan mìíràn.	Haha. Ndoro ke be a.	No, nothing else.
Kò burú. A máa bẹ̀rẹ̀ pẹ̀lú àwọn àyẹ̀wò kan láti mọ ohun tó jẹ́ ní pàtó.	Damuwa dan bo a. Tsuwanadan yi a jin bedzo yi ci pe ena ga e jin wo na o.	No problem. We will start with some tests to determine the exact cause.
A máa bẹ̀rẹ̀ pẹ̀lú àwọn àyẹ̀wò kan láti mọ ohun tó jẹ́.	Tsuwan sashi zhi yi, yi a kayin jin o, yi de ba u pe ena jin na o.	We will start with some tests to find out what it is.
A máa bẹ̀rẹ̀ pẹ̀lú àwọn àyẹ̀wò kan láti fìdí ohun tó jẹ́ múlẹ̀.	Tsuwan sashi zhi yi a kain jin o, yi de ba u pe ena un yi na o.	We will start with some tests to confirm what it is.
A máa bẹ̀rẹ̀ pẹ̀lú àwọn àyẹ̀wò kan láti mọ ohun tó jẹ́ ní pàtó. Ṣùgbọ́n ṣé orí ń fọ́ ọ yín tàbí èébì ń gbé yín?	Tsuwandan yi a jin bedzo yi ci pe o. Ama n gan wo e wo etisan be manzuwa a?	We will start with some tests to determine the exact cause. But do you have a headache or feel nauseous?
Ǹjẹ́ orí ń fọ́ ọ yín tàbí èébì ń gbé yín?	We wo manzuwa be etisan a ko?	Do you have a headache or feel nauseous?
Béẹ̀ni, mo ni ẹ̀fọ́rí, èébì díẹ̀ náà sì ń gbé mi.	E, mi e wo etisan be manzuwa e.	Yes, I have a headache and a bit of nausea.
Béẹ̀ni, orí ń fọ́ mi, ṣùgbọ́n èébì ò gbé mi. 	E, mi e wo etisan ama mi wo manzuwa a.	Yes, I have a headache, but no nausea.
Rárá, orí ò fọ́ mi, èébì ò sì gbé mi.	Haha, mi wo etisan a, mi ma wo manzuwa a .	No, I don't have a headache or nausea.
Àwọn nǹkan wọ̀nyí fara jọ Ibà. A máa ṣe àyẹ̀wò ẹ̀jẹ̀ láti rí àrídájú.	Alama na zhi o ke tun ye dana be yan iba. Tsuwandan yan ejia yi a jin yi ci pe ko un ga o.	These symptoms resemble malaria. We will do a blood test to confirm.
A máa níláti ṣe àyẹ̀wò ẹ̀jẹ̀.	Tsuwandan yan ejia yi a jin o.	We will need to do a blood test.
A máa ṣe àyẹ̀wò ẹ̀jẹ̀.	Yi a jin tsuwandan yan ejia.	We will do a blood test.
Bákan náà, ó ṣe pàtàkì púpọ̀ kí ara má gbẹ. Báwo ni ẹ ṣe ń mu omi tó? 	Bebe ma, nuwon fin kamin ndoro ge sarayin. Ke we e fin nuwon fin na o?	Also, it's very important not to get dehydrated. How are you staying hydrated?
Ǹjẹ́ ẹ má n mu omi dáadáa?	We fin nuwon dokun ko?	Are you drinking enough water?
Bẹ́ẹ̀ni mo máa n mu omi gan-an.	E,mi e fin nuwon dokun ka ndoro.	Yes, I drink a lot of water.
Mò ń gbìyànjú láti mu omi, ṣùgbọ́n ó ṣòro pẹ̀lú èébì tó ń gbé mi. 	Mi e wa gan mi n ce fin nuwon kan doro, ama manzuwa yi a.	I try to drink water, but it's difficult because of the nausea.
Mò ń gbìyànjú láti mu omi, ṣùgbọ́n èébì yẹn ń jẹ́ kí ó ṣòro fún mi.	Mi e jin kokari gan mi n ce fin nuwon kan doro, ama manzuwa yi a.	I try to drink water, but the nausea makes it hard.
Ó dáa. Tí a bá ti gba èsì àyẹ̀wò ọ̀hún, a máa sọ̀rọ̀ nípa ìtọ́jú tó yẹ.	To, wan ge. Ezhe yan tsuwandan na zhi yi jin na ga tinya, yin a be ganagan yan cigbe na zhi o ga lo na.	Alright. Once we get the test results, we will discuss the appropriate treatment.
Kò burú. Bí a bá ti rí èsì àyẹ̀wò ọ̀hún, a máa mọ ìtọ́jú tó yẹ.	Damuwa danbo a. Yi ga ezhe yan tsuwandan leye, yi a pe cigbe u ye.	No problem. When we get the test results, we will know the proper treatment.
